date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,lat,long
2020-02-25,Brazil,SP,São Paulo/SP,3550308,0,0,1,1,0.0,0.008159999999999999,0.0,-23.5329,-46.6395
2020-02-28,Brazil,SP,São Paulo/SP,3550308,0,0,1,2,0.0,0.016319999999999998,0.0,-23.5329,-46.6395
2020-03-04,Brazil,SP,São Paulo/SP,3550308,0,0,1,3,0.0,0.02449,0.0,-23.5329,-46.6395
2020-03-05,Brazil,RJ,Barra Mansa/RJ,3300407,0,0,1,1,0.0,0.5422600000000001,0.0,-22.5481,-44.1752
2020-03-05,Brazil,SP,São Paulo/SP,3550308,0,0,3,6,0.0,0.04897,0.0,-23.5329,-46.6395
2020-03-06,Brazil,ES,CASO SEM LOCALIZAÇÃO DEFINIDA/ES,32,0,0,1,1,0.0,0.024880000000000003,0.0,-20.3155,-40.3128
2020-03-06,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,4,4,0.0,0.008709999999999999,0.0,-23.5329,-46.6395
2020-03-06,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,1,0.0,0.16264,0.0,-12.2664,-38.9663
2020-03-06,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,1,0.0,0.01488,0.0,-22.9129,-43.2003
2020-03-07,Brazil,DF,Brasília/DF,5300108,0,0,1,1,0.0,0.03316,0.0,-15.7795,-47.9297
2020-03-07,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,2,0.0,0.32527,0.0,-12.2664,-38.9663
2020-03-07,Brazil,SP,Santana de Parnaíba/SP,3547304,0,0,1,1,0.0,0.71712,0.0,-23.4439,-46.9178
2020-03-07,Brazil,SP,São Paulo/SP,3550308,0,0,6,12,0.0,0.09794,0.0,-23.5329,-46.6395
2020-03-08,Brazil,MG,Divinópolis/MG,3122306,0,0,1,1,0.0,0.41976,0.0,-20.1446,-44.8912
2020-03-08,Brazil,AL,Maceió/AL,2704302,0,0,1,1,0.0,0.09813999999999999,0.0,-9.665989999999999,-35.735
2020-03-08,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,1,2,0.0,0.029769999999999998,0.0,-22.9129,-43.2003
2020-03-08,Brazil,SP,São Paulo/SP,3550308,0,0,3,15,0.0,0.12243,0.0,-23.5329,-46.6395
2020-03-10,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,5,5,0.0,0.028960000000000003,0.0,-22.9129,-43.2003
2020-03-10,Brazil,RS,Campo Bom/RS,4303905,0,0,1,1,0.0,1.49898,0.0,-29.6747,-51.0606
2020-03-10,Brazil,SP,São Paulo/SP,3550308,0,0,3,18,0.0,0.14690999999999999,0.0,-23.5329,-46.6395
2020-03-11,Brazil,DF,Brasília/DF,5300108,0,0,1,2,0.0,0.06633,0.0,-15.7795,-47.9297
2020-03-11,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,5,10,0.0,0.057920000000000006,0.0,-22.9129,-43.2003
2020-03-11,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,3,0.0,0.48791,0.0,-12.2664,-38.9663
2020-03-11,Brazil,RS,Porto Alegre/RS,4314902,0,0,1,1,0.0,0.0674,0.0,-30.0318,-51.2065
2020-03-11,Brazil,SP,São Paulo/SP,3550308,0,0,11,29,0.0,0.2367,0.0,-23.5329,-46.6395
2020-03-12,Brazil,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,33,0,0,-9,1,0.0,0.00579,0.0,-22.9129,-43.2003
2020-03-12,Brazil,RS,Caxias do Sul/RS,4305108,0,0,1,1,0.0,0.19573,0.0,-29.1629,-51.1792
2020-03-12,Brazil,PR,Cianorte/PR,4105508,0,0,1,1,0.0,1.21036,0.0,-23.6599,-52.6054
2020-03-12,Brazil,PR,Curitiba/PR,4106902,0,0,5,5,0.0,0.25865,0.0,-25.4195,-49.2646
2020-03-12,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,0,1,1,0.0,0.51473,0.0,-23.5411,-46.371
2020-03-12,Brazil,SC,Florianópolis/SC,4205407,0,0,2,2,0.0,0.39921999999999996,0.0,-27.5945,-48.5477
2020-03-12,Brazil,GO,Goiânia/GO,5208707,0,0,2,2,0.0,0.13192,0.0,-16.6864,-49.2643
2020-03-12,Brazil,MG,Ipatinga/MG,3131307,0,0,1,1,0.0,0.37964000000000003,0.0,-19.4703,-42.5476
2020-03-12,Brazil,RN,Natal/RN,2408102,0,0,1,1,0.0,0.11310999999999999,0.0,-5.79357,-35.1986
2020-03-12,Brazil,RJ,Niterói/RJ,3303302,0,0,1,1,0.0,0.19471,0.0,-22.8832,-43.1034
2020-03-12,Brazil,RS,Porto Alegre/RS,4314902,0,0,1,2,0.0,0.13479000000000002,0.0,-30.0318,-51.2065
2020-03-12,Brazil,PE,Recife/PE,2611606,0,0,2,2,0.0,0.12153,0.0,-8.046660000000001,-34.8771
2020-03-12,Brazil,GO,Rio Verde/GO,5218805,0,0,1,1,0.0,0.42436,0.0,-17.7923,-50.9192
2020-03-12,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,0,11,13,0.0,0.19347999999999999,0.0,-22.9129,-43.2003
2020-03-12,Brazil,SP,São Paulo/SP,3550308,0,0,15,44,0.0,0.35912,0.0,-23.5329,-46.6395
2020-03-13,Brazil,SP,CASO SEM LOCALIZAÇÃO DEFINIDA/SP,35,0,0,10,10,0.0,0.02178,0.0,-23.5329,-46.6395
2020-03-13,Brazil,BA,Feira de Santana/BA,2910800,0,0,1,4,0.0,0.65054,0.0,-12.2664,-38.9663
2020-03-13,Brazil,SC,Joinville/SC,4209102,0,0,1,1,0.0,0.16935999999999998,0.0,-26.3045,-48.8487
2020-03-13,Brazil,AM,Manaus/AM,1302603,0,0,2,2,0.0,0.09162999999999999,0.0,-3.1186599999999998,-60.0212
2020-03-13,Brazil,BA,Salvador/BA,2927408,0,0,3,3,0.0,0.10444,0.0,-12.9718,-38.5011
2020-03-14,Brazil,SE,Aracaju/SE,2800308,0,0,1,1,0.0,0.1522,0.0,-10.9091,-37.0677
2020-03-14,Brazil,DF,Brasília/DF,5300108,0,0,6,8,0.0,0.26532,0.0,-15.7795,-47.9297
